id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
153363,2025-05-01 00:00:00,31.2,60.0,0,2.0,meteostat,4.90,0
153364,2025-05-01 01:00:00,33.0,59.0,0,2.6111112,meteostat,10.90,0
153365,2025-05-01 02:00:00,34.0,56.0,0,3.1111112,meteostat,18.44,0
153366,2025-05-01 03:00:00,34.2,56.0,0,4.0,meteostat,39.20,0
153367,2025-05-01 04:00:00,35.0,53.0,0,4.111111,meteostat,42.56,0
153368,2025-05-01 05:00:00,36.0,44.0,0,4.111111,meteostat,42.56,0
153369,2025-05-01 06:00:00,36.2,48.0,0,4.0,meteostat,39.20,0
153370,2025-05-01 07:00:00,36.0,47.0,0,4.611111,meteostat,60.05,0
153371,2025-05-01 08:00:00,36.0,47.0,0,4.111111,meteostat,42.56,0
153372,2025-05-01 09:00:00,34.4,51.0,0,5.0,meteostat,76.56,0
153373,2025-05-01 10:00:00,33.0,56.0,0,4.611111,meteostat,60.05,0
153374,2025-05-01 11:00:00,32.0,67.0,0,3.1111112,meteostat,18.44,0
153375,2025-05-01 12:00:00,31.3,68.0,0,4.0,meteostat,39.20,0
153376,2025-05-01 13:00:00,31.0,70.0,0,3.1111112,meteostat,18.44,0
153377,2025-05-01 14:00:00,31.0,66.0,0,2.6111112,meteostat,10.90,0
153378,2025-05-01 15:00:00,30.5,69.0,0,3.0,meteostat,16.54,0
153379,2025-05-01 16:00:00,30.0,70.0,0,2.1111112,meteostat,5.76,0
153380,2025-05-01 17:00:00,30.0,70.0,0,1.5,meteostat,2.07,0
153381,2025-05-01 18:00:00,29.7,72.0,0,2.0,meteostat,4.90,0
153382,2025-05-01 19:00:00,30.0,70.0,0,1.0,meteostat,0.61,0
153383,2025-05-01 20:00:00,29.0,79.0,0,1.0,meteostat,0.61,0
153384,2025-05-01 21:00:00,29.1,75.0,0,2.0,meteostat,4.90,0
153385,2025-05-01 22:00:00,29.0,74.0,0,1.0,meteostat,0.61,0
153386,2025-05-01 23:00:00,31.0,66.0,0,2.6111112,meteostat,10.90,0
153387,2025-05-02 00:00:00,31.8,63.0,0,3.0,meteostat,16.54,0
153388,2025-05-02 01:00:00,32.0,63.0,0,2.6111112,meteostat,10.90,0
153389,2025-05-02 02:00:00,34.0,53.0,0,2.5,meteostat,9.57,0
153390,2025-05-02 03:00:00,34.5,55.0,0,3.0,meteostat,16.54,0
153391,2025-05-02 04:00:00,36.0,47.0,0,4.611111,meteostat,60.05,0
153392,2025-05-02 05:00:00,36.0,47.0,0,4.611111,meteostat,60.05,0
153393,2025-05-02 06:00:00,36.0,49.0,0,5.0,meteostat,76.56,0
153394,2025-05-02 07:00:00,36.0,53.0,0,4.111111,meteostat,42.56,0
153395,2025-05-02 08:00:00,34.0,60.0,0,5.6944447,meteostat,113.10,0
153396,2025-05-02 09:00:00,34.0,60.0,0,4.0,meteostat,39.20,0
153397,2025-05-02 10:00:00,33.0,59.0,0,5.6944447,meteostat,113.10,0
153398,2025-05-02 11:00:00,31.0,66.0,0,4.111111,meteostat,42.56,0
153399,2025-05-02 12:00:00,31.0,67.0,0,4.0,meteostat,39.20,0
153400,2025-05-02 13:00:00,31.0,66.0,0,3.1111112,meteostat,18.44,0
153401,2025-05-02 14:00:00,31.0,62.0,0,4.111111,meteostat,42.56,0
153402,2025-05-02 15:00:00,30.3,69.0,0,4.0,meteostat,39.20,0
153403,2025-05-02 16:00:00,30.0,70.0,0,3.1111112,meteostat,18.44,0
153404,2025-05-02 17:00:00,30.0,66.0,0,3.6111112,meteostat,28.84,0
153405,2025-05-02 18:00:00,29.7,69.0,0,2.0,meteostat,4.90,0
153406,2025-05-02 19:00:00,30.0,66.0,0,1.5,meteostat,2.07,0
153407,2025-05-02 20:00:00,29.0,70.0,0,1.0,meteostat,0.61,0
153408,2025-05-02 21:00:00,28.9,76.0,0,3.0,meteostat,16.54,0
153409,2025-05-02 22:00:00,29.0,79.0,0,2.1111112,meteostat,5.76,0
153410,2025-05-02 23:00:00,30.0,70.0,0,2.1111112,meteostat,5.76,0
153411,2025-05-03 00:00:00,31.1,67.0,0,2.0,meteostat,4.90,0
153412,2025-05-03 01:00:00,32.0,63.0,0,3.1111112,meteostat,18.44,0
153413,2025-05-03 02:00:00,33.0,59.0,0,4.611111,meteostat,60.05,0
153414,2025-05-03 03:00:00,33.8,58.0,0,5.0,meteostat,76.56,0
153415,2025-05-03 04:00:00,35.0,53.0,0,4.111111,meteostat,42.56,0
153416,2025-05-03 05:00:00,34.0,56.0,0,4.611111,meteostat,60.05,0
153417,2025-05-03 06:00:00,35.9,52.0,0,4.0,meteostat,39.20,0
153418,2025-05-03 07:00:00,35.0,53.0,0,4.111111,meteostat,42.56,0
153419,2025-05-03 08:00:00,35.0,53.0,0,4.611111,meteostat,60.05,0
153420,2025-05-03 09:00:00,33.0,56.0,0,5.111111,meteostat,81.78,0
153421,2025-05-03 10:00:00,32.0,63.0,0,4.111111,meteostat,42.56,0
153422,2025-05-03 11:00:00,32.0,63.0,0,4.611111,meteostat,60.05,0
153423,2025-05-03 12:00:00,31.2,66.0,0,4.0,meteostat,39.20,0
153424,2025-05-03 13:00:00,31.0,66.0,0,3.6111112,meteostat,28.84,0
153425,2025-05-03 14:00:00,31.0,66.0,0,3.1111112,meteostat,18.44,0
153426,2025-05-03 15:00:00,30.3,69.0,0,4.0,meteostat,39.20,0
153427,2025-05-03 16:00:00,30.0,70.0,0,3.1111112,meteostat,18.44,0
153428,2025-05-03 17:00:00,30.0,70.0,0,2.1111112,meteostat,5.76,0
153429,2025-05-03 18:00:00,29.9,69.0,0,3.0,meteostat,16.54,0
153430,2025-05-03 19:00:00,30.0,70.0,0,2.1111112,meteostat,5.76,0
153431,2025-05-03 20:00:00,30.0,70.0,0,2.1111112,meteostat,5.76,0
153432,2025-05-03 21:00:00,29.3,74.0,0,2.0,meteostat,4.90,0
153433,2025-05-03 22:00:00,29.0,74.0,0,1.0,meteostat,0.61,0
153434,2025-05-03 23:00:00,30.0,70.0,0,2.1111112,meteostat,5.76,0
153435,2025-05-04 00:00:00,31.1,67.0,0,3.0,meteostat,16.54,0
153436,2025-05-04 01:00:00,33.0,59.0,0,4.611111,meteostat,60.05,0
153437,2025-05-04 02:00:00,33.0,63.0,0,4.611111,meteostat,60.05,0
153438,2025-05-04 03:00:00,33.2,58.0,0,5.0,meteostat,76.56,0
153439,2025-05-04 04:00:00,33.0,59.0,0,4.611111,meteostat,60.05,0
153440,2025-05-04 05:00:00,35.0,56.0,0,4.611111,meteostat,60.05,0
153441,2025-05-04 06:00:00,34.9,53.0,0,5.0,meteostat,76.56,0
153442,2025-05-04 07:00:00,35.0,56.0,0,4.611111,meteostat,60.05,0
153443,2025-05-04 08:00:00,32.0,67.0,0,3.6111112,meteostat,28.84,0
153444,2025-05-04 09:00:00,31.1,72.0,0,2.0,meteostat,4.90,0
153445,2025-05-04 10:00:00,31.0,75.0,0,2.1111112,meteostat,5.76,0
153446,2025-05-04 11:00:00,30.0,79.0,0,3.1111112,meteostat,18.44,0
153447,2025-05-04 12:00:00,30.1,76.0,0,3.0,meteostat,16.54,0
153448,2025-05-04 13:00:00,30.0,79.0,0,2.6111112,meteostat,10.90,0
153449,2025-05-04 14:00:00,30.0,75.0,0,2.1111112,meteostat,5.76,0
153450,2025-05-04 15:00:00,29.7,78.0,0,2.0,meteostat,4.90,0
153451,2025-05-04 16:00:00,30.0,79.0,0,2.1111112,meteostat,5.76,0
153452,2025-05-04 17:00:00,29.0,84.0,0,1.5,meteostat,2.07,0
153453,2025-05-04 18:00:00,29.1,85.0,0,2.0,meteostat,4.90,0
153454,2025-05-04 19:00:00,29.0,84.0,0,1.5,meteostat,2.07,0
153455,2025-05-04 20:00:00,29.0,84.0,0,1.0,meteostat,0.61,0
153456,2025-05-04 21:00:00,28.8,86.0,0,2.0,meteostat,4.90,0
153457,2025-05-04 22:00:00,29.0,84.0,0,1.0,meteostat,0.61,0
153458,2025-05-04 23:00:00,30.0,75.0,0,2.6111112,meteostat,10.90,0
153459,2025-05-05 00:00:00,30.5,72.0,0,2.0,meteostat,4.90,0
153460,2025-05-05 01:00:00,32.0,67.0,0,3.1111112,meteostat,18.44,0
153461,2025-05-05 02:00:00,33.0,63.0,0,3.6111112,meteostat,28.84,0
153462,2025-05-05 03:00:00,33.9,60.0,0,3.0,meteostat,16.54,0
153463,2025-05-05 04:00:00,35.0,53.0,0,4.111111,meteostat,42.56,0
153464,2025-05-05 05:00:00,35.0,53.0,0,4.111111,meteostat,42.56,0
153465,2025-05-05 06:00:00,35.0,54.0,0,4.0,meteostat,39.20,0
153466,2025-05-05 07:00:00,32.0,71.0,0,5.111111,meteostat,81.78,0
153467,2025-05-05 08:00:00,33.0,63.0,0,1.5,meteostat,2.07,0
153468,2025-05-05 09:00:00,31.8,74.0,0,5.0,meteostat,76.56,0
153469,2025-05-05 10:00:00,31.0,70.0,0,4.111111,meteostat,42.56,0
153470,2025-05-05 11:00:00,30.0,70.0,0,4.111111,meteostat,42.56,0
153471,2025-05-05 12:00:00,28.2,87.0,0,4.0,meteostat,39.20,0
153472,2025-05-05 13:00:00,28.0,79.0,0,3.1111112,meteostat,18.44,0
153473,2025-05-05 14:00:00,28.0,79.0,0,3.6111112,meteostat,28.84,0
153474,2025-05-05 15:00:00,28.7,70.0,0,3.0,meteostat,16.54,0
153475,2025-05-05 16:00:00,29.0,74.0,0,1.5,meteostat,2.07,0
153476,2025-05-05 17:00:00,28.0,79.0,0,2.1111112,meteostat,5.76,0
