id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
5090,2025-07-31 23:00:00,27.73,76.17,0.0,2.7,nasa_power,12.06,0.00
5091,2025-07-31 22:00:00,27.67,73.33,0.0,2.5,nasa_power,9.57,0.00
5092,2025-07-31 21:00:00,28.2,73.5,0.0,2.6,nasa_power,10.77,0.00
5093,2025-07-31 20:00:00,29.33,76.67,0.0,2.0,nasa_power,4.90,0.00
5094,2025-07-31 19:00:00,29.67,75.83,0.0,2.0,nasa_power,4.90,0.00
5095,2025-07-31 18:00:00,29.8,74.0,0.47,1.9,nasa_power,4.20,0.00
5096,2025-07-31 17:00:00,30.73,76.17,0.85,2.2,nasa_power,6.52,0.00
5097,2025-07-31 16:00:00,30.67,73.33,1.69,3.0,nasa_power,16.54,0.01
5098,2025-07-31 15:00:00,31.2,73.5,2.69,3.1,nasa_power,18.25,0.01
5099,2025-07-31 14:00:00,31.93,74.67,3.68,3.3,nasa_power,22.01,0.02
5100,2025-07-31 13:00:00,32.07,72.83,4.39,3.2,nasa_power,20.07,0.02
5101,2025-07-31 12:00:00,32.6,73.0,5.27,2.3,nasa_power,7.45,0.02
5102,2025-07-31 11:00:00,32.47,74.83,4.18,2.4,nasa_power,8.47,0.02
5103,2025-07-31 10:00:00,31.73,73.67,3.58,2.2,nasa_power,6.52,0.01
5104,2025-07-31 09:00:00,30.0,67.5,2.46,2.5,nasa_power,9.57,0.01
5105,2025-07-31 08:00:00,30.47,72.33,1.79,2.9,nasa_power,14.94,0.01
5106,2025-07-31 07:00:00,29.93,72.17,0.85,2.8,nasa_power,13.45,0.00
5107,2025-07-31 06:00:00,29.0,70.0,0.51,2.5,nasa_power,9.57,0.00
5108,2025-07-31 05:00:00,28.67,70.83,0.0,1.5,nasa_power,2.07,0.00
5109,2025-07-31 04:00:00,29.33,76.67,0.0,3.0,nasa_power,16.54,0.00
5110,2025-07-31 03:00:00,29.8,81.5,0.0,3.4,nasa_power,24.07,0.00
5111,2025-07-31 02:00:00,28.27,76.33,0.0,2.8,nasa_power,13.45,0.00
5112,2025-07-31 01:00:00,28.73,81.17,0.0,3.2,nasa_power,20.07,0.00
5113,2025-07-31 00:00:00,27.2,76.0,0.0,2.6,nasa_power,10.77,0.00
5114,2025-07-30 23:00:00,27.73,76.17,0.0,2.7,nasa_power,12.06,0.00
5115,2025-07-30 22:00:00,28.47,77.33,0.0,2.9,nasa_power,14.94,0.00
5116,2025-07-30 21:00:00,28.4,74.5,0.0,1.7,nasa_power,3.01,0.00
5117,2025-07-30 20:00:00,29.53,77.67,0.0,2.1,nasa_power,5.67,0.00
5118,2025-07-30 19:00:00,28.67,70.83,0.0,2.5,nasa_power,9.57,0.00
5119,2025-07-30 18:00:00,30.8,79.0,0.39,2.4,nasa_power,8.47,0.00
5120,2025-07-30 17:00:00,30.73,76.17,0.7,2.2,nasa_power,6.52,0.00
5121,2025-07-30 16:00:00,29.67,68.33,1.39,1.5,nasa_power,2.07,0.01
5122,2025-07-30 15:00:00,31.8,76.5,2.22,3.4,nasa_power,24.07,0.01
5123,2025-07-30 14:00:00,31.53,72.67,3.04,2.1,nasa_power,5.67,0.01
5124,2025-07-30 13:00:00,30.87,66.83,3.63,1.6,nasa_power,2.51,0.02
5125,2025-07-30 12:00:00,32.2,71.0,4.35,3.1,nasa_power,18.25,0.02
5126,2025-07-30 11:00:00,31.67,70.83,3.45,3.0,nasa_power,16.54,0.01
5127,2025-07-30 10:00:00,30.33,66.67,2.96,1.5,nasa_power,2.07,0.01
5128,2025-07-30 09:00:00,30.2,68.5,2.03,1.6,nasa_power,2.51,0.01
5129,2025-07-30 08:00:00,29.87,69.33,1.48,1.6,nasa_power,2.51,0.01
5130,2025-07-30 07:00:00,29.73,71.17,0.7,2.7,nasa_power,12.06,0.00
5131,2025-07-30 06:00:00,30.8,79.0,0.42,2.4,nasa_power,8.47,0.00
5132,2025-07-30 05:00:00,30.27,78.83,0.0,2.3,nasa_power,7.45,0.00
5133,2025-07-30 04:00:00,29.13,75.67,0.0,1.9,nasa_power,4.20,0.00
5134,2025-07-30 03:00:00,28.0,72.5,0.0,2.5,nasa_power,9.57,0.00
5135,2025-07-30 02:00:00,28.27,76.33,0.0,2.8,nasa_power,13.45,0.00
5136,2025-07-30 01:00:00,28.93,82.17,0.0,3.3,nasa_power,22.01,0.00
5137,2025-07-30 00:00:00,27.0,75.0,0.0,1.5,nasa_power,2.07,0.00
5138,2025-07-29 23:00:00,27.33,74.17,0.0,1.5,nasa_power,2.07,0.00
5139,2025-07-29 22:00:00,28.07,75.33,0.0,2.7,nasa_power,12.06,0.00
5140,2025-07-29 21:00:00,28.0,72.5,0.0,2.5,nasa_power,9.57,0.00
5141,2025-07-29 20:00:00,29.33,76.67,0.0,3.0,nasa_power,16.54,0.00
5142,2025-07-29 19:00:00,29.67,75.83,0.0,2.0,nasa_power,4.90,0.00
5143,2025-07-29 18:00:00,29.4,72.0,0.43,1.7,nasa_power,3.01,0.00
5144,2025-07-29 17:00:00,30.53,75.17,0.77,2.1,nasa_power,5.67,0.00
5145,2025-07-29 16:00:00,31.27,76.33,1.53,3.3,nasa_power,22.01,0.01
5146,2025-07-29 15:00:00,30.8,71.5,2.43,2.9,nasa_power,14.94,0.01
5147,2025-07-29 14:00:00,30.73,68.67,3.33,2.7,nasa_power,12.06,0.01
5148,2025-07-29 13:00:00,31.87,71.83,3.97,2.1,nasa_power,5.67,0.02
5149,2025-07-29 12:00:00,32.0,70.0,4.77,2.0,nasa_power,4.90,0.02
5150,2025-07-29 11:00:00,30.87,66.83,3.78,2.6,nasa_power,10.77,0.02
5151,2025-07-29 10:00:00,30.93,69.67,3.24,2.8,nasa_power,13.45,0.01
5152,2025-07-29 09:00:00,30.0,67.5,2.22,1.5,nasa_power,2.07,0.01
5153,2025-07-29 08:00:00,31.27,76.33,1.62,3.3,nasa_power,22.01,0.01
5154,2025-07-29 07:00:00,31.13,78.17,0.77,2.4,nasa_power,8.47,0.00
5155,2025-07-29 06:00:00,29.8,74.0,0.46,2.9,nasa_power,14.94,0.00
5156,2025-07-29 05:00:00,28.67,70.83,0.0,1.5,nasa_power,2.07,0.00
5157,2025-07-29 04:00:00,28.53,72.67,0.0,2.6,nasa_power,10.77,0.00
5158,2025-07-29 03:00:00,29.8,81.5,0.0,2.4,nasa_power,8.47,0.00
5159,2025-07-29 02:00:00,29.47,82.33,0.0,3.4,nasa_power,24.07,0.00
5160,2025-07-29 01:00:00,28.93,82.17,0.0,3.3,nasa_power,22.01,0.00
5161,2025-07-29 00:00:00,28.0,80.0,0.0,3.0,nasa_power,16.54,0.00
5162,2025-07-28 23:00:00,27.33,74.17,0.0,1.5,nasa_power,2.07,0.00
5163,2025-07-28 22:00:00,29.27,81.33,0.0,3.3,nasa_power,22.01,0.00
5164,2025-07-28 21:00:00,28.8,76.5,0.0,2.9,nasa_power,14.94,0.00
5165,2025-07-28 20:00:00,29.13,75.67,0.0,2.9,nasa_power,14.94,0.00
5166,2025-07-28 19:00:00,30.47,79.83,0.0,3.4,nasa_power,24.07,0.00
5167,2025-07-28 18:00:00,29.2,71.0,0.32,2.6,nasa_power,10.77,0.00
5168,2025-07-28 17:00:00,31.13,78.17,0.58,3.4,nasa_power,24.07,0.00
5169,2025-07-28 16:00:00,31.27,76.33,1.14,2.3,nasa_power,7.45,0.01
5170,2025-07-28 15:00:00,31.6,75.5,1.82,3.3,nasa_power,22.01,0.01
5171,2025-07-28 14:00:00,32.13,75.67,2.49,3.4,nasa_power,24.07,0.01
5172,2025-07-28 13:00:00,30.67,65.83,2.97,2.5,nasa_power,9.57,0.01
5173,2025-07-28 12:00:00,31.4,67.0,3.57,1.7,nasa_power,3.01,0.01
5174,2025-07-28 11:00:00,31.07,67.83,2.83,1.7,nasa_power,3.01,0.01
5175,2025-07-28 10:00:00,31.73,73.67,2.42,2.2,nasa_power,6.52,0.01
5176,2025-07-28 09:00:00,30.6,70.5,1.66,2.8,nasa_power,13.45,0.01
5177,2025-07-28 08:00:00,31.47,77.33,1.21,2.4,nasa_power,8.47,0.01
5178,2025-07-28 07:00:00,29.93,72.17,0.58,2.8,nasa_power,13.45,0.00
5179,2025-07-28 06:00:00,30.0,75.0,0.34,3.0,nasa_power,16.54,0.00
5180,2025-07-28 05:00:00,29.47,74.83,0.0,1.9,nasa_power,4.20,0.00
5181,2025-07-28 04:00:00,29.53,77.67,0.0,3.1,nasa_power,18.25,0.00
5182,2025-07-28 03:00:00,29.0,77.5,0.0,3.0,nasa_power,16.54,0.00
5183,2025-07-28 02:00:00,27.67,73.33,0.0,2.5,nasa_power,9.57,0.00
5184,2025-07-28 01:00:00,27.73,76.17,0.0,2.7,nasa_power,12.06,0.00
5185,2025-07-28 00:00:00,27.0,75.0,0.0,2.5,nasa_power,9.57,0.00
5186,2025-07-27 23:00:00,27.93,77.17,0.0,1.8,nasa_power,3.57,0.00
5187,2025-07-27 22:00:00,28.87,79.33,0.0,2.1,nasa_power,5.67,0.00
5188,2025-07-27 21:00:00,28.0,72.5,0.0,2.5,nasa_power,9.57,0.00
5189,2025-07-27 20:00:00,29.93,79.67,0.0,3.3,nasa_power,22.01,0.00
5190,2025-07-27 19:00:00,29.87,76.83,0.0,2.1,nasa_power,5.67,0.00
5191,2025-07-27 18:00:00,29.6,73.0,0.34,2.8,nasa_power,13.45,0.00
5192,2025-07-27 17:00:00,30.93,77.17,0.62,3.3,nasa_power,22.01,0.00
5193,2025-07-27 16:00:00,30.27,71.33,1.24,2.8,nasa_power,13.45,0.01
5194,2025-07-27 15:00:00,30.0,67.5,1.96,2.5,nasa_power,9.57,0.01
5195,2025-07-27 14:00:00,30.73,68.67,2.69,2.7,nasa_power,12.06,0.01
5196,2025-07-27 13:00:00,31.07,67.83,3.21,1.7,nasa_power,3.01,0.01
5197,2025-07-27 12:00:00,31.2,66.0,3.85,2.6,nasa_power,10.77,0.02
