id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
744,2025-02-01T00:00:00,25.00,83.00,303.00,1.00,weatherbit,0.61,0.606
745,2025-02-01T01:00:00,28.00,69.00,489.00,1.38,weatherbit,1.61,0.602
746,2025-02-01T02:00:00,30.00,62.00,698.00,2.60,weatherbit,10.77,2.373
747,2025-02-01T03:00:00,29.80,65.00,604.00,3.53,weatherbit,26.94,0.850
748,2025-02-01T04:00:00,32.00,59.00,863.00,3.10,weatherbit,18.25,4.257
749,2025-02-01T05:00:00,32.00,55.00,842.00,4.10,weatherbit,42.21,4.266
750,2025-02-01T06:00:00,32.00,52.00,746.00,4.10,weatherbit,42.21,3.233
751,2025-02-01T07:00:00,32.00,55.00,582.00,4.60,weatherbit,59.62,1.785
752,2025-02-01T08:00:00,32.30,56.00,262.00,3.35,weatherbit,23.03,0.152
753,2025-02-01T09:00:00,32.00,55.00,149.00,3.10,weatherbit,18.25,0.298
754,2025-02-01T10:00:00,32.00,52.00,0.00,3.60,weatherbit,28.58,0.000
755,2025-02-01T11:00:00,29.90,63.00,0.00,3.36,weatherbit,23.23,0.000
756,2025-02-01T12:00:00,29.00,65.00,0.00,3.10,weatherbit,18.25,0.000
757,2025-02-01T13:00:00,28.80,67.00,0.00,2.21,weatherbit,6.61,0.000
758,2025-02-01T14:00:00,28.00,74.00,0.00,2.10,weatherbit,5.67,0.000
759,2025-02-01T15:00:00,27.00,78.00,0.00,2.09,weatherbit,5.59,0.000
760,2025-02-01T16:00:00,27.00,83.00,0.00,1.50,weatherbit,2.07,0.000
761,2025-02-01T17:00:00,26.00,88.00,0.00,1.50,weatherbit,2.07,0.000
762,2025-02-01T18:00:00,26.10,86.00,0.00,1.20,weatherbit,1.06,0.000
763,2025-02-01T19:00:00,26.00,88.00,0.00,2.10,weatherbit,5.67,0.000
764,2025-02-01T20:00:00,26.00,83.00,0.00,1.50,weatherbit,2.07,0.000
765,2025-02-01T21:00:00,25.30,90.00,0.00,1.01,weatherbit,0.63,0.000
766,2025-02-01T22:00:00,25.00,88.00,0.00,1.00,weatherbit,0.61,0.000
767,2025-02-01T23:00:00,25.00,83.00,83.00,0.50,weatherbit,0.08,0.166
768,2025-02-02T00:00:00,25.70,79.00,291.00,1.33,weatherbit,1.44,0.349
769,2025-02-02T01:00:00,27.00,74.00,521.00,1.00,weatherbit,0.61,1.320
770,2025-02-02T02:00:00,29.00,65.00,700.00,1.00,weatherbit,0.61,2.800
771,2025-02-02T03:00:00,30.10,63.00,808.00,1.57,weatherbit,2.37,2.948
772,2025-02-02T04:00:00,31.00,66.00,862.00,1.50,weatherbit,2.07,4.597
773,2025-02-02T05:00:00,32.00,55.00,845.00,3.10,weatherbit,18.25,4.056
774,2025-02-02T06:00:00,32.60,56.00,719.00,3.10,weatherbit,18.25,1.661
775,2025-02-02T07:00:00,33.00,55.00,582.00,4.10,weatherbit,42.21,1.474
776,2025-02-02T08:00:00,32.00,59.00,375.00,3.60,weatherbit,28.58,0.750
777,2025-02-02T09:00:00,32.30,57.00,140.00,2.40,weatherbit,8.47,0.151
778,2025-02-02T10:00:00,32.00,59.00,0.00,3.60,weatherbit,28.58,0.000
779,2025-02-02T11:00:00,31.00,62.00,0.00,2.60,weatherbit,10.77,0.000
780,2025-02-02T12:00:00,29.50,71.00,0.00,2.59,weatherbit,10.64,0.000
781,2025-02-02T13:00:00,29.00,70.00,0.00,2.60,weatherbit,10.77,0.000
