id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
1415,2025-03-01T00:00:00,26.00,78.00,366.00,2.10,weatherbit,5.67,0.732
1416,2025-03-01T01:00:00,28.00,65.00,594.00,2.60,weatherbit,10.77,1.505
1417,2025-03-01T02:00:00,29.00,62.00,779.00,3.10,weatherbit,18.25,2.752
1418,2025-03-01T03:00:00,31.00,55.00,903.00,3.60,weatherbit,28.58,3.191
1419,2025-03-01T04:00:00,31.60,56.00,885.00,3.98,weatherbit,38.61,1.880
1420,2025-03-01T05:00:00,33.00,52.00,922.00,3.10,weatherbit,18.25,2.459
1421,2025-03-01T06:00:00,33.00,55.00,815.00,4.60,weatherbit,59.62,1.956
1422,2025-03-01T07:00:00,32.00,55.00,649.00,6.20,weatherbit,145.98,1.428
1423,2025-03-01T08:00:00,32.00,55.00,433.00,4.60,weatherbit,59.62,0.866
1424,2025-03-01T09:00:00,30.70,59.00,171.00,5.30,weatherbit,91.19,0.157
1425,2025-03-01T10:00:00,30.00,58.00,7.00,4.60,weatherbit,59.62,0.014
1426,2025-03-01T11:00:00,29.00,65.00,0.00,3.60,weatherbit,28.58,0.000
1427,2025-03-01T12:00:00,28.60,68.00,0.00,3.10,weatherbit,18.25,0.000
1428,2025-03-01T13:00:00,28.00,69.00,0.00,2.10,weatherbit,5.67,0.000
1429,2025-03-01T14:00:00,27.80,71.00,0.00,2.78,weatherbit,13.16,0.000
1430,2025-03-01T15:00:00,28.00,69.00,0.00,2.60,weatherbit,10.77,0.000
1431,2025-03-01T16:00:00,28.00,74.00,0.00,2.10,weatherbit,5.67,0.000
1432,2025-03-01T17:00:00,27.00,78.00,0.00,2.08,weatherbit,5.51,0.000
1433,2025-03-01T18:00:00,28.00,74.00,0.00,2.10,weatherbit,5.67,0.000
1434,2025-03-01T19:00:00,27.00,78.00,0.00,1.00,weatherbit,0.61,0.000
1435,2025-03-01T20:00:00,26.80,79.00,0.00,1.39,weatherbit,1.64,0.000
1436,2025-03-01T21:00:00,26.00,94.00,0.00,1.50,weatherbit,2.07,0.000
1437,2025-03-01T22:00:00,26.00,94.00,0.00,1.00,weatherbit,0.61,0.000
1438,2025-03-01T23:00:00,26.60,87.00,123.00,1.40,weatherbit,1.68,0.145
1439,2025-03-02T00:00:00,27.00,83.00,365.00,0.50,weatherbit,0.08,0.730
1440,2025-03-02T01:00:00,28.00,74.00,592.00,3.10,weatherbit,18.25,1.342
1441,2025-03-02T02:00:00,30.00,66.00,723.00,4.74,weatherbit,65.23,1.458
1442,2025-03-02T03:00:00,32.00,59.00,542.00,4.10,weatherbit,42.21,0.673
1443,2025-03-02T04:00:00,32.00,62.00,944.00,4.10,weatherbit,42.21,5.979
1444,2025-03-02T05:00:00,32.70,59.00,880.00,4.80,weatherbit,67.74,3.507
1445,2025-03-02T06:00:00,33.00,59.00,813.00,5.10,weatherbit,81.25,4.228
1446,2025-03-02T07:00:00,34.00,56.00,645.00,4.10,weatherbit,42.21,2.279
1447,2025-03-02T08:00:00,33.00,59.00,430.00,4.60,weatherbit,59.62,0.917
1448,2025-03-02T09:00:00,31.50,62.00,187.00,4.93,weatherbit,73.39,0.236
1449,2025-03-02T10:00:00,31.00,66.00,9.00,5.10,weatherbit,81.25,0.018
1450,2025-03-02T11:00:00,30.00,66.00,0.00,3.60,weatherbit,28.58,0.000
1451,2025-03-02T12:00:00,29.00,69.00,0.00,3.60,weatherbit,28.58,0.000
1452,2025-03-02T13:00:00,29.00,70.00,0.00,3.60,weatherbit,28.58,0.000
1453,2025-03-02T14:00:00,28.00,74.00,0.00,4.04,weatherbit,40.39,0.000
1454,2025-03-02T15:00:00,28.00,69.00,0.00,3.10,weatherbit,18.25,0.000
1455,2025-03-02T16:00:00,28.00,65.00,0.00,2.60,weatherbit,10.77,0.000
1456,2025-03-02T17:00:00,28.00,65.00,0.00,1.00,weatherbit,0.61,0.000
1457,2025-03-02T18:00:00,27.00,69.00,0.00,2.27,weatherbit,7.16,0.000
1458,2025-03-02T19:00:00,27.00,65.00,0.00,1.50,weatherbit,2.07,0.000
1459,2025-03-02T20:00:00,27.00,69.00,0.00,1.00,weatherbit,0.61,0.000
1460,2025-03-02T21:00:00,26.90,72.00,0.00,1.33,weatherbit,1.44,0.000
1461,2025-03-02T22:00:00,27.00,74.00,0.00,2.10,weatherbit,5.67,0.000
1462,2025-03-02T23:00:00,26.00,73.00,134.00,2.10,weatherbit,5.67,0.268
1463,2025-03-03T00:00:00,27.50,73.00,352.00,1.39,weatherbit,1.64,0.408
1464,2025-03-03T01:00:00,29.00,65.00,598.00,1.50,weatherbit,2.07,1.196
1465,2025-03-03T02:00:00,30.00,62.00,782.00,3.60,weatherbit,28.58,1.564
1466,2025-03-03T03:00:00,31.70,60.00,818.00,3.91,weatherbit,36.61,0.845
1467,2025-03-03T04:00:00,31.80,57.00,866.00,4.75,weatherbit,65.64,0.953
1468,2025-03-03T05:00:00,34.00,52.00,922.00,5.10,weatherbit,81.25,1.967
1469,2025-03-03T06:00:00,33.00,55.00,819.00,4.60,weatherbit,59.62,1.638
1470,2025-03-03T07:00:00,32.00,59.00,649.00,5.70,weatherbit,113.43,1.298
1471,2025-03-03T08:00:00,31.50,61.00,355.00,5.44,weatherbit,98.61,0.277
1472,2025-03-03T09:00:00,30.00,66.00,194.00,5.10,weatherbit,81.25,0.388
1473,2025-03-03T10:00:00,30.00,62.00,9.00,3.60,weatherbit,28.58,0.009
1474,2025-03-03T11:00:00,29.00,70.00,0.00,2.10,weatherbit,5.67,0.000
1475,2025-03-03T12:00:00,29.00,70.00,0.00,3.10,weatherbit,18.25,0.000
1476,2025-03-03T13:00:00,28.60,72.00,0.00,2.97,weatherbit,16.05,0.000
1477,2025-03-03T14:00:00,28.00,74.00,0.00,3.10,weatherbit,18.25,0.000
1478,2025-03-03T15:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
1479,2025-03-03T16:00:00,27.80,75.00,0.00,3.10,weatherbit,18.25,0.000
1480,2025-03-03T17:00:00,28.00,69.00,0.00,3.10,weatherbit,18.25,0.000
1481,2025-03-03T18:00:00,28.00,74.00,0.00,2.10,weatherbit,5.67,0.000
1482,2025-03-03T19:00:00,27.60,72.00,0.00,1.90,weatherbit,4.20,0.000
1483,2025-03-03T20:00:00,28.00,69.00,0.00,1.50,weatherbit,2.07,0.000
1484,2025-03-03T21:00:00,28.00,74.00,0.00,1.50,weatherbit,2.07,0.000
1485,2025-03-03T22:00:00,28.00,74.00,0.00,1.50,weatherbit,2.07,0.000
1486,2025-03-03T23:00:00,27.90,74.00,113.00,1.89,weatherbit,4.14,0.093
1487,2025-03-04T00:00:00,28.00,74.00,373.00,2.60,weatherbit,10.77,0.746
1488,2025-03-04T01:00:00,28.00,74.00,598.00,3.10,weatherbit,18.25,1.196
1489,2025-03-04T02:00:00,30.00,66.00,782.00,5.70,weatherbit,113.43,2.137
1490,2025-03-04T03:00:00,31.00,62.00,904.00,5.70,weatherbit,113.43,3.676
1491,2025-03-04T04:00:00,32.00,62.00,948.00,4.60,weatherbit,59.62,4.424
1492,2025-03-04T05:00:00,32.10,62.00,788.00,4.75,weatherbit,65.64,1.875
1493,2025-03-04T06:00:00,32.00,62.00,817.00,6.20,weatherbit,145.98,3.649
1494,2025-03-04T07:00:00,33.00,59.00,648.00,4.60,weatherbit,59.62,1.944
1495,2025-03-04T08:00:00,32.30,62.00,358.00,4.42,weatherbit,52.89,0.286
1496,2025-03-04T09:00:00,33.00,55.00,195.00,4.10,weatherbit,42.21,0.390
1497,2025-03-04T10:00:00,32.00,59.00,9.00,4.10,weatherbit,42.21,0.018
1498,2025-03-04T11:00:00,30.30,66.00,0.00,3.60,weatherbit,28.58,0.000
1499,2025-03-04T12:00:00,30.00,66.00,0.00,3.60,weatherbit,28.58,0.000
1500,2025-03-04T13:00:00,29.00,70.00,0.00,3.60,weatherbit,28.58,0.000
1501,2025-03-04T14:00:00,28.60,73.00,0.00,3.10,weatherbit,18.25,0.000
1502,2025-03-04T15:00:00,29.00,70.00,0.00,2.60,weatherbit,10.77,0.000
1503,2025-03-04T16:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
1504,2025-03-04T17:00:00,28.00,74.00,0.00,1.50,weatherbit,2.07,0.000
1505,2025-03-04T18:00:00,28.00,78.00,0.00,2.10,weatherbit,5.67,0.000
1506,2025-03-04T19:00:00,28.00,74.00,0.00,2.10,weatherbit,5.67,0.000
