id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
2158,2025-04-01T00:00:00,28.00,83.00,446.00,1.50,weatherbit,2.07,0.892
2159,2025-04-01T01:00:00,29.00,70.00,671.00,2.10,weatherbit,5.67,1.655
2160,2025-04-01T02:00:00,31.00,62.00,847.00,1.00,weatherbit,0.61,3.783
2161,2025-04-01T03:00:00,29.00,70.00,958.00,4.60,weatherbit,59.62,5.429
2162,2025-04-01T04:00:00,31.70,63.00,616.00,3.54,weatherbit,27.17,0.877
2163,2025-04-01T05:00:00,32.00,62.00,955.00,2.60,weatherbit,10.77,4.457
2164,2025-04-01T06:00:00,33.00,59.00,843.00,2.60,weatherbit,10.77,3.541
2165,2025-04-01T07:00:00,33.00,59.00,668.00,1.50,weatherbit,2.07,1.514
2166,2025-04-01T08:00:00,34.00,52.00,450.00,3.60,weatherbit,28.58,0.900
2167,2025-04-01T09:00:00,32.40,58.00,110.00,3.22,weatherbit,20.45,0.042
2168,2025-04-01T10:00:00,32.00,62.00,21.00,3.60,weatherbit,28.58,0.042
2169,2025-04-01T11:00:00,31.00,66.00,0.00,3.60,weatherbit,28.58,0.000
2170,2025-04-01T12:00:00,30.00,69.00,0.00,3.03,weatherbit,17.04,0.000
2171,2025-04-01T13:00:00,29.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2172,2025-04-01T14:00:00,29.00,74.00,0.00,3.10,weatherbit,18.25,0.000
2173,2025-04-01T15:00:00,29.00,74.00,0.00,3.60,weatherbit,28.58,0.000
2174,2025-04-01T16:00:00,29.00,70.00,0.00,2.60,weatherbit,10.77,0.000
2175,2025-04-01T17:00:00,28.80,70.00,0.00,2.20,weatherbit,6.52,0.000
2176,2025-04-01T18:00:00,28.00,74.00,0.00,3.10,weatherbit,18.25,0.000
2177,2025-04-01T19:00:00,28.00,74.00,0.00,3.10,weatherbit,18.25,0.000
2178,2025-04-01T20:00:00,28.00,70.00,0.00,2.52,weatherbit,9.80,0.000
2179,2025-04-01T21:00:00,28.00,69.00,0.00,2.10,weatherbit,5.67,0.000
2180,2025-04-01T22:00:00,28.00,74.00,23.00,2.10,weatherbit,5.67,0.046
2181,2025-04-01T23:00:00,27.00,78.00,212.00,1.50,weatherbit,2.07,0.424
2182,2025-04-02T00:00:00,29.00,70.00,452.00,2.10,weatherbit,5.67,0.904
2183,2025-04-02T01:00:00,30.00,62.00,676.00,3.60,weatherbit,28.58,1.532
2184,2025-04-02T02:00:00,31.20,60.00,640.00,2.59,weatherbit,10.64,0.817
2185,2025-04-02T03:00:00,32.00,55.00,965.00,2.10,weatherbit,5.67,5.404
2186,2025-04-02T04:00:00,32.00,55.00,1002.00,2.60,weatherbit,10.77,6.279
2187,2025-04-02T05:00:00,33.00,52.00,964.00,2.60,weatherbit,10.77,5.655
2188,2025-04-02T06:00:00,32.60,55.00,555.00,1.89,weatherbit,4.14,0.683
2189,2025-04-02T07:00:00,34.00,49.00,674.00,3.10,weatherbit,18.25,2.022
2190,2025-04-02T08:00:00,34.00,49.00,452.00,2.60,weatherbit,10.77,0.904
2191,2025-04-02T09:00:00,33.00,54.00,134.00,3.22,weatherbit,20.45,0.067
2192,2025-04-02T10:00:00,33.00,59.00,21.00,4.10,weatherbit,42.21,0.042
2193,2025-04-02T11:00:00,31.00,66.00,0.00,3.60,weatherbit,28.58,0.000
2194,2025-04-02T12:00:00,30.00,69.00,0.00,3.02,weatherbit,16.87,0.000
2195,2025-04-02T13:00:00,29.00,74.00,0.00,3.10,weatherbit,18.25,0.000
2196,2025-04-02T14:00:00,29.00,70.00,0.00,3.10,weatherbit,18.25,0.000
2197,2025-04-02T15:00:00,28.30,73.00,0.00,2.83,weatherbit,13.88,0.000
2198,2025-04-02T16:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2199,2025-04-02T17:00:00,28.00,74.00,0.00,3.10,weatherbit,18.25,0.000
2200,2025-04-02T18:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2201,2025-04-02T19:00:00,28.10,74.00,0.00,2.02,weatherbit,5.05,0.000
2202,2025-04-02T20:00:00,28.00,74.00,0.00,1.50,weatherbit,2.07,0.000
2203,2025-04-02T21:00:00,28.00,74.00,0.00,1.50,weatherbit,2.07,0.000
2204,2025-04-02T22:00:00,27.00,78.00,25.00,0.50,weatherbit,0.08,0.050
2205,2025-04-02T23:00:00,27.60,76.00,171.00,1.51,weatherbit,2.11,0.127
2206,2025-04-03T00:00:00,29.00,70.00,455.00,2.10,weatherbit,5.67,0.910
2207,2025-04-03T01:00:00,30.00,66.00,675.00,2.10,weatherbit,5.67,1.350
2208,2025-04-03T02:00:00,31.00,58.00,854.00,2.10,weatherbit,5.67,2.163
2209,2025-04-03T03:00:00,32.00,55.00,966.00,2.60,weatherbit,10.77,2.898
2210,2025-04-03T04:00:00,32.00,62.00,995.00,2.60,weatherbit,10.77,2.919
2211,2025-04-03T05:00:00,31.00,66.00,955.00,2.60,weatherbit,10.77,2.547
2212,2025-04-03T06:00:00,33.30,58.00,477.00,3.22,weatherbit,20.45,0.227
2213,2025-04-03T07:00:00,34.00,52.00,671.00,3.60,weatherbit,28.58,1.342
2214,2025-04-03T08:00:00,33.00,59.00,448.00,4.10,weatherbit,42.21,0.896
2215,2025-04-03T09:00:00,33.00,59.00,208.00,4.10,weatherbit,42.21,0.416
2216,2025-04-03T10:00:00,32.00,62.00,21.00,4.10,weatherbit,42.21,0.042
2217,2025-04-03T11:00:00,31.00,66.00,0.00,4.10,weatherbit,42.21,0.000
2218,2025-04-03T12:00:00,30.00,70.00,0.00,3.60,weatherbit,28.58,0.000
2219,2025-04-03T13:00:00,29.80,66.00,0.00,3.03,weatherbit,17.04,0.000
2220,2025-04-03T14:00:00,29.00,74.00,0.00,3.60,weatherbit,28.58,0.000
2221,2025-04-03T15:00:00,29.00,74.00,0.00,4.10,weatherbit,42.21,0.000
2222,2025-04-03T16:00:00,28.90,73.00,0.00,2.65,weatherbit,11.40,0.000
2223,2025-04-03T17:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2224,2025-04-03T18:00:00,28.00,78.00,0.00,2.60,weatherbit,10.77,0.000
2225,2025-04-03T19:00:00,28.00,78.00,0.00,2.60,weatherbit,10.77,0.000
2226,2025-04-03T20:00:00,28.00,76.00,0.00,1.71,weatherbit,3.06,0.000
2227,2025-04-03T21:00:00,28.00,78.00,0.00,3.10,weatherbit,18.25,0.000
2228,2025-04-03T22:00:00,28.00,78.00,28.00,2.60,weatherbit,10.77,0.056
2229,2025-04-03T23:00:00,28.20,75.00,179.00,1.51,weatherbit,2.11,0.143
2230,2025-04-04T00:00:00,29.00,70.00,457.00,3.60,weatherbit,28.58,0.914
2231,2025-04-04T01:00:00,30.00,66.00,677.00,3.60,weatherbit,28.58,1.354
2232,2025-04-04T02:00:00,30.70,64.00,640.00,3.03,weatherbit,17.04,0.451
2233,2025-04-04T03:00:00,32.00,59.00,962.00,4.10,weatherbit,42.21,2.565
2234,2025-04-04T04:00:00,33.00,55.00,1000.00,4.10,weatherbit,42.21,3.133
2235,2025-04-04T05:00:00,33.10,56.00,670.00,3.22,weatherbit,20.45,0.622
2236,2025-04-04T06:00:00,34.00,52.00,848.00,4.60,weatherbit,59.62,1.809
2237,2025-04-04T07:00:00,34.00,52.00,671.00,4.10,weatherbit,42.21,1.342
2238,2025-04-04T08:00:00,34.00,52.00,451.00,4.60,weatherbit,59.62,0.902
2239,2025-04-04T09:00:00,34.00,52.00,209.00,4.10,weatherbit,42.21,0.418
2240,2025-04-04T10:00:00,33.00,59.00,21.00,4.60,weatherbit,59.62,0.042
2241,2025-04-04T11:00:00,31.00,66.00,0.00,4.10,weatherbit,42.21,0.000
2242,2025-04-04T12:00:00,29.90,68.00,0.00,3.21,weatherbit,20.26,0.000
2243,2025-04-04T13:00:00,30.00,70.00,0.00,4.10,weatherbit,42.21,0.000
2244,2025-04-04T14:00:00,29.00,70.00,0.00,4.60,weatherbit,59.62,0.000
2245,2025-04-04T15:00:00,29.00,70.00,0.00,3.60,weatherbit,28.58,0.000
2246,2025-04-04T16:00:00,28.80,70.00,0.00,3.49,weatherbit,26.04,0.000
2247,2025-04-04T17:00:00,29.00,74.00,0.00,4.10,weatherbit,42.21,0.000
2248,2025-04-04T18:00:00,28.00,78.00,0.00,3.60,weatherbit,28.58,0.000
2249,2025-04-04T19:00:00,28.00,78.00,0.00,3.60,weatherbit,28.58,0.000
2250,2025-04-04T20:00:00,28.00,76.00,0.00,2.03,weatherbit,5.12,0.000
2251,2025-04-04T21:00:00,27.00,83.00,0.00,3.60,weatherbit,28.58,0.000
2252,2025-04-04T22:00:00,26.00,88.00,30.00,5.70,weatherbit,113.43,0.060
2253,2025-04-04T23:00:00,26.90,82.00,177.00,2.52,weatherbit,9.80,0.135
2254,2025-04-05T00:00:00,27.00,83.00,458.00,2.10,weatherbit,5.67,0.916
2255,2025-04-05T01:00:00,29.00,70.00,679.00,2.60,weatherbit,10.77,1.358
2256,2025-04-05T02:00:00,30.00,67.00,652.00,1.39,weatherbit,1.64,0.547
2257,2025-04-05T03:00:00,32.00,59.00,963.00,2.60,weatherbit,10.77,3.082
2258,2025-04-05T04:00:00,32.00,66.00,973.00,3.10,weatherbit,18.25,3.114
2259,2025-04-05T05:00:00,32.30,61.00,638.00,3.34,weatherbit,22.82,0.619
2260,2025-04-05T06:00:00,30.00,70.00,836.00,4.10,weatherbit,42.21,4.013
2261,2025-04-05T07:00:00,30.00,70.00,668.00,5.70,weatherbit,113.43,2.093
2262,2025-04-05T08:00:00,32.00,59.00,450.00,3.60,weatherbit,28.58,0.900
2263,2025-04-05T09:00:00,31.60,64.00,110.00,3.54,weatherbit,27.17,0.042
2264,2025-04-05T10:00:00,32.00,59.00,21.00,4.10,weatherbit,42.21,0.042
2265,2025-04-05T11:00:00,31.00,62.00,0.00,4.10,weatherbit,42.21,0.000
2266,2025-04-05T12:00:00,29.90,70.00,0.00,2.90,weatherbit,14.94,0.000
2267,2025-04-05T13:00:00,30.00,66.00,0.00,3.10,weatherbit,18.25,0.000
2268,2025-04-05T14:00:00,29.00,70.00,0.00,2.60,weatherbit,10.77,0.000
2269,2025-04-05T15:00:00,28.90,70.00,0.00,2.21,weatherbit,6.61,0.000
2270,2025-04-05T16:00:00,29.00,65.00,0.00,3.10,weatherbit,18.25,0.000
2271,2025-04-05T17:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2272,2025-04-05T18:00:00,28.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2273,2025-04-05T19:00:00,28.10,74.00,0.00,1.71,weatherbit,3.06,0.000
2274,2025-04-05T20:00:00,27.00,78.00,0.00,1.50,weatherbit,2.07,0.000
2275,2025-04-05T21:00:00,27.00,78.00,0.00,1.50,weatherbit,2.07,0.000
2276,2025-04-05T22:00:00,27.00,74.00,33.00,1.00,weatherbit,0.61,0.066
2277,2025-04-05T23:00:00,27.00,75.00,182.00,1.51,weatherbit,2.11,0.142
2278,2025-04-06T00:00:00,27.00,78.00,461.00,1.50,weatherbit,2.07,0.922
2279,2025-04-06T01:00:00,30.00,62.00,684.00,1.00,weatherbit,0.61,1.368
2280,2025-04-06T02:00:00,31.00,58.00,858.00,1.50,weatherbit,2.07,1.716
2281,2025-04-06T03:00:00,32.00,55.00,968.00,2.60,weatherbit,10.77,3.098
2282,2025-04-06T04:00:00,31.20,65.00,696.00,2.90,weatherbit,14.94,0.754
2283,2025-04-06T05:00:00,32.00,62.00,957.00,2.10,weatherbit,5.67,3.381
2284,2025-04-06T06:00:00,32.00,62.00,844.00,1.50,weatherbit,2.07,2.138
2285,2025-04-06T07:00:00,34.00,52.00,671.00,4.10,weatherbit,42.21,1.342
2286,2025-04-06T08:00:00,33.90,53.00,308.00,3.36,weatherbit,23.23,0.172
2287,2025-04-06T09:00:00,33.00,52.00,211.00,4.60,weatherbit,59.62,0.422
2288,2025-04-06T10:00:00,34.00,49.00,23.00,4.10,weatherbit,42.21,0.046
2289,2025-04-06T11:00:00,31.50,62.00,0.00,3.04,weatherbit,17.21,0.000
2290,2025-04-06T12:00:00,31.00,62.00,0.00,2.60,weatherbit,10.77,0.000
2291,2025-04-06T13:00:00,30.00,66.00,0.00,2.60,weatherbit,10.77,0.000
2292,2025-04-06T14:00:00,29.80,67.00,0.00,1.90,weatherbit,4.20,0.000
2293,2025-04-06T15:00:00,29.00,79.00,0.00,3.10,weatherbit,18.25,0.000
2294,2025-04-06T16:00:00,29.00,79.00,0.00,2.10,weatherbit,5.67,0.000
2295,2025-04-06T17:00:00,28.90,76.00,0.00,1.89,weatherbit,4.14,0.000
2296,2025-04-06T18:00:00,29.00,74.00,0.00,1.50,weatherbit,2.07,0.000
2297,2025-04-06T19:00:00,28.00,83.00,0.00,2.60,weatherbit,10.77,0.000
2298,2025-04-06T20:00:00,28.00,83.00,0.00,2.60,weatherbit,10.77,0.000
2299,2025-04-06T21:00:00,28.00,78.00,0.00,2.60,weatherbit,10.77,0.000
2300,2025-04-06T22:00:00,28.00,78.00,34.00,2.10,weatherbit,5.67,0.068
2301,2025-04-06T23:00:00,27.00,78.00,224.00,2.10,weatherbit,5.67,0.448
2302,2025-04-07T00:00:00,29.20,69.00,394.00,1.90,weatherbit,4.20,0.331
2303,2025-04-07T01:00:00,30.00,62.00,686.00,2.60,weatherbit,10.77,1.372
2304,2025-04-07T02:00:00,32.00,52.00,863.00,3.10,weatherbit,18.25,1.784
2305,2025-04-07T03:00:00,31.80,58.00,740.00,3.55,weatherbit,27.40,0.688
2306,2025-04-07T04:00:00,34.00,56.00,996.00,4.10,weatherbit,42.21,2.590
2307,2025-04-07T05:00:00,33.00,59.00,956.00,4.60,weatherbit,59.62,2.231
2308,2025-04-07T06:00:00,33.60,57.00,645.00,4.37,weatherbit,51.12,0.439
2309,2025-04-07T07:00:00,35.00,52.00,669.00,4.10,weatherbit,42.21,1.338
2310,2025-04-07T08:00:00,34.00,56.00,448.00,4.60,weatherbit,59.62,0.896
2311,2025-04-07T09:00:00,33.50,56.00,168.00,4.04,weatherbit,40.39,0.124
2312,2025-04-07T10:00:00,33.00,59.00,23.00,3.60,weatherbit,28.58,0.046
2313,2025-04-07T11:00:00,32.00,62.00,0.00,4.10,weatherbit,42.21,0.000
2314,2025-04-07T12:00:00,30.80,65.00,0.00,3.54,weatherbit,27.17,0.000
2315,2025-04-07T13:00:00,31.00,66.00,0.00,3.10,weatherbit,18.25,0.000
2316,2025-04-07T14:00:00,30.00,70.00,0.00,3.60,weatherbit,28.58,0.000
2317,2025-04-07T15:00:00,30.00,70.00,0.00,3.60,weatherbit,28.58,0.000
2318,2025-04-07T16:00:00,30.00,70.00,0.00,4.10,weatherbit,42.21,0.000
2319,2025-04-07T17:00:00,29.00,72.00,0.00,2.52,weatherbit,9.80,0.000
2320,2025-04-07T18:00:00,29.00,74.00,0.00,2.10,weatherbit,5.67,0.000
2321,2025-04-07T19:00:00,29.00,74.00,0.00,2.60,weatherbit,10.77,0.000
2322,2025-04-07T20:00:00,28.00,78.00,0.00,2.10,weatherbit,5.67,0.000
2323,2025-04-07T21:00:00,28.00,78.00,0.00,1.00,weatherbit,0.61,0.000
2324,2025-04-07T22:00:00,28.00,78.00,37.00,2.10,weatherbit,5.67,0.074
2325,2025-04-07T23:00:00,28.00,74.00,226.00,2.10,weatherbit,5.67,0.452
2326,2025-04-08T00:00:00,29.30,71.00,456.00,2.40,weatherbit,8.47,0.620
2327,2025-04-08T01:00:00,30.00,66.00,685.00,2.10,weatherbit,5.67,1.735
2328,2025-04-08T02:00:00,32.00,62.00,853.00,3.10,weatherbit,18.25,4.208
2329,2025-04-08T03:00:00,31.70,61.00,920.00,3.10,weatherbit,18.25,3.763
2330,2025-04-08T04:00:00,33.00,55.00,1002.00,3.60,weatherbit,28.58,7.482
2331,2025-04-08T05:00:00,34.00,56.00,956.00,3.60,weatherbit,28.58,6.628
2332,2025-04-08T06:00:00,34.00,56.00,843.00,1.00,weatherbit,0.61,4.721
2333,2025-04-08T07:00:00,33.90,56.00,644.00,4.24,weatherbit,46.69,1.517
2334,2025-04-08T08:00:00,34.00,56.00,448.00,4.60,weatherbit,59.62,1.015
2335,2025-04-08T09:00:00,34.00,56.00,209.00,4.60,weatherbit,59.62,0.418
2336,2025-04-08T10:00:00,33.00,59.00,23.00,4.60,weatherbit,59.62,0.046
2337,2025-04-08T11:00:00,32.00,62.00,0.00,3.60,weatherbit,28.58,0.000
2338,2025-04-08T12:00:00,30.50,67.00,0.00,3.41,weatherbit,24.29,0.000
2339,2025-04-08T13:00:00,30.00,66.00,0.00,4.10,weatherbit,42.21,0.000
