id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
2877,2025-05-01T00:00:00,31.00,58.00,503.00,1.50,weatherbit,2.07,1.241
2878,2025-05-01T01:00:00,31.00,58.00,711.00,2.60,weatherbit,10.77,2.560
2879,2025-05-01T02:00:00,32.60,61.00,701.00,2.40,weatherbit,8.47,1.421
2880,2025-05-01T03:00:00,34.00,56.00,964.00,3.10,weatherbit,18.25,6.170
2881,2025-05-01T04:00:00,34.00,56.00,993.00,3.60,weatherbit,28.58,7.282
2882,2025-05-01T05:00:00,35.00,52.00,949.00,4.10,weatherbit,42.21,6.200
2883,2025-05-01T06:00:00,36.00,44.00,842.00,1.00,weatherbit,0.61,4.154
2884,2025-05-01T07:00:00,36.00,47.00,664.00,4.10,weatherbit,42.21,2.302
2885,2025-05-01T08:00:00,36.00,47.00,449.00,4.60,weatherbit,59.62,0.958
2886,2025-05-01T09:00:00,36.00,47.00,216.00,4.10,weatherbit,42.21,0.432
2887,2025-05-01T10:00:00,34.00,52.00,32.00,5.10,weatherbit,81.25,0.022
2888,2025-05-01T11:00:00,32.40,59.00,0.00,4.05,weatherbit,40.69,0.000
2889,2025-05-01T12:00:00,32.00,66.00,0.00,3.10,weatherbit,18.25,0.000
2890,2025-05-01T13:00:00,30.80,70.00,0.00,3.72,weatherbit,31.53,0.000
2891,2025-05-01T14:00:00,31.00,70.00,0.00,3.10,weatherbit,18.25,0.000
2892,2025-05-01T15:00:00,31.00,66.00,0.00,2.60,weatherbit,10.77,0.000
2893,2025-05-01T16:00:00,31.00,66.00,0.00,3.10,weatherbit,18.25,0.000
2894,2025-05-01T17:00:00,30.00,70.00,0.00,2.10,weatherbit,5.67,0.000
2895,2025-05-01T18:00:00,30.00,70.00,0.00,1.50,weatherbit,2.07,0.000
2896,2025-05-01T19:00:00,29.60,71.00,0.00,1.51,weatherbit,2.11,0.000
2897,2025-05-01T20:00:00,30.00,70.00,0.00,1.00,weatherbit,0.61,0.000
2898,2025-05-01T21:00:00,29.00,79.00,0.00,1.00,weatherbit,0.61,0.000
2899,2025-05-01T22:00:00,29.00,74.00,52.00,1.50,weatherbit,2.07,0.104
2900,2025-05-01T23:00:00,29.50,71.00,228.00,1.20,weatherbit,1.06,0.192
2901,2025-05-02T00:00:00,31.00,66.00,499.00,2.60,weatherbit,10.77,1.098
2902,2025-05-02T01:00:00,32.00,62.00,705.00,2.60,weatherbit,10.77,2.491
2903,2025-05-02T02:00:00,32.40,61.00,848.00,2.59,weatherbit,10.64,2.768
2904,2025-05-02T03:00:00,34.00,52.00,970.00,2.60,weatherbit,10.77,6.337
2905,2025-05-02T04:00:00,35.00,52.00,994.00,3.10,weatherbit,18.25,7.422
2906,2025-05-02T05:00:00,35.70,49.00,937.00,4.23,weatherbit,46.36,4.302
2907,2025-05-02T06:00:00,36.00,47.00,837.00,4.60,weatherbit,59.62,4.018
2908,2025-05-02T07:00:00,36.00,50.00,661.00,4.60,weatherbit,59.62,2.159
2909,2025-05-02T08:00:00,35.10,54.00,329.00,3.53,weatherbit,26.94,0.218
2910,2025-05-02T09:00:00,34.00,59.00,214.00,5.70,weatherbit,113.43,0.428
2911,2025-05-02T10:00:00,34.00,59.00,35.00,4.10,weatherbit,42.21,0.070
2912,2025-05-02T11:00:00,32.60,60.00,0.00,4.34,weatherbit,50.07,0.000
2913,2025-05-02T12:00:00,31.00,66.00,0.00,4.10,weatherbit,42.21,0.000
2914,2025-05-02T13:00:00,31.00,66.00,0.00,3.60,weatherbit,28.58,0.000
2915,2025-05-02T14:00:00,30.60,68.00,0.00,3.28,weatherbit,21.61,0.000
2916,2025-05-02T15:00:00,31.00,62.00,0.00,4.10,weatherbit,42.21,0.000
2917,2025-05-02T16:00:00,30.00,70.00,0.00,3.60,weatherbit,28.58,0.000
2918,2025-05-02T17:00:00,29.80,71.00,0.00,2.90,weatherbit,14.94,0.000
2919,2025-05-02T18:00:00,30.00,66.00,0.00,3.60,weatherbit,28.58,0.000
2920,2025-05-02T19:00:00,30.00,66.00,0.00,1.50,weatherbit,2.07,0.000
2921,2025-05-02T20:00:00,30.00,66.00,0.00,1.50,weatherbit,2.07,0.000
2922,2025-05-02T21:00:00,29.00,71.00,0.00,1.20,weatherbit,1.06,0.000
2923,2025-05-02T22:00:00,29.00,74.00,54.00,2.60,weatherbit,10.77,0.108
2924,2025-05-02T23:00:00,29.00,79.00,268.00,2.10,weatherbit,5.67,0.536
2925,2025-05-03T00:00:00,30.20,69.00,419.00,2.09,weatherbit,5.59,0.344
2926,2025-05-03T01:00:00,31.00,66.00,531.00,1.50,weatherbit,2.07,0.350
2927,2025-05-03T02:00:00,32.00,62.00,866.00,3.10,weatherbit,18.25,1.732
2928,2025-05-03T03:00:00,33.00,59.00,964.00,4.60,weatherbit,59.62,2.314
2929,2025-05-03T04:00:00,34.00,59.00,987.00,4.60,weatherbit,59.62,2.500
2930,2025-05-03T05:00:00,35.00,52.00,948.00,4.10,weatherbit,42.21,2.212
2931,2025-05-03T06:00:00,34.00,56.00,833.00,4.60,weatherbit,59.62,1.666
2932,2025-05-03T07:00:00,36.00,53.00,658.00,4.10,weatherbit,42.21,1.316
2933,2025-05-03T08:00:00,35.00,52.00,447.00,4.10,weatherbit,42.21,0.894
2934,2025-05-03T09:00:00,35.00,52.00,114.00,4.60,weatherbit,59.62,0.014
2935,2025-05-03T10:00:00,32.70,58.00,31.00,4.17,weatherbit,44.41,0.014
2936,2025-05-03T11:00:00,32.00,62.00,0.00,4.10,weatherbit,42.21,0.000
2937,2025-05-03T12:00:00,32.00,62.00,0.00,4.60,weatherbit,59.62,0.000
2938,2025-05-03T13:00:00,31.00,66.00,0.00,4.10,weatherbit,42.21,0.000
2939,2025-05-03T14:00:00,31.00,66.00,0.00,3.60,weatherbit,28.58,0.000
2940,2025-05-03T15:00:00,31.00,66.00,0.00,3.10,weatherbit,18.25,0.000
