id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
4339,2025-07-01T00:00:00,27.00,88.00,474.00,1.50,weatherbit,2.07,0.948
4340,2025-07-01T01:00:00,28.80,81.00,456.00,1.70,weatherbit,3.01,0.255
4341,2025-07-01T02:00:00,30.00,74.00,826.00,1.50,weatherbit,2.07,1.817
4342,2025-07-01T03:00:00,29.00,83.00,921.00,3.60,weatherbit,28.58,2.517
4343,2025-07-01T04:00:00,30.00,75.00,731.00,3.91,weatherbit,36.61,0.646
4344,2025-07-01T05:00:00,31.00,70.00,925.00,4.10,weatherbit,42.21,2.282
4345,2025-07-01T06:00:00,31.00,66.00,830.00,4.60,weatherbit,59.62,1.660
4346,2025-07-01T07:00:00,31.00,74.00,658.00,5.10,weatherbit,81.25,1.316
4347,2025-07-01T08:00:00,30.50,73.00,285.00,4.29,weatherbit,48.36,0.137
4348,2025-07-01T09:00:00,31.00,70.00,61.00,4.60,weatherbit,59.62,0.000
4349,2025-07-01T10:00:00,30.00,74.00,37.00,3.60,weatherbit,28.58,0.000
4350,2025-07-01T11:00:00,28.70,77.00,0.00,3.60,weatherbit,28.58,0.000
4351,2025-07-01T12:00:00,29.00,79.00,0.00,2.10,weatherbit,5.67,0.000
4352,2025-07-01T13:00:00,29.00,83.00,0.00,1.00,weatherbit,0.61,0.000
4353,2025-07-01T14:00:00,28.30,85.00,0.00,1.70,weatherbit,3.01,0.000
4354,2025-07-01T15:00:00,29.00,83.00,0.00,1.00,weatherbit,0.61,0.000
4355,2025-07-01T16:00:00,29.00,83.00,0.00,2.10,weatherbit,5.67,0.000
4356,2025-07-01T17:00:00,27.50,88.00,0.00,1.89,weatherbit,4.14,0.000
4357,2025-07-01T18:00:00,28.00,88.00,0.00,2.60,weatherbit,10.77,0.000
4358,2025-07-01T19:00:00,28.00,88.00,0.00,1.50,weatherbit,2.07,0.000
4359,2025-07-01T20:00:00,27.00,94.00,0.00,1.00,weatherbit,0.61,0.000
4360,2025-07-01T21:00:00,26.70,93.00,0.00,1.33,weatherbit,1.44,0.000
4361,2025-07-01T22:00:00,27.00,93.00,38.00,2.35,weatherbit,7.95,0.023
4362,2025-07-01T23:00:00,27.00,88.00,256.00,2.10,weatherbit,5.67,0.512
4363,2025-07-02T00:00:00,27.60,88.00,328.00,1.72,weatherbit,3.12,0.190
4364,2025-07-02T01:00:00,28.70,83.00,474.00,2.06,weatherbit,5.35,0.284
4365,2025-07-02T02:00:00,30.00,79.00,821.00,2.10,weatherbit,5.67,1.642
4366,2025-07-02T03:00:00,30.60,75.00,679.00,2.96,weatherbit,15.88,0.493
4367,2025-07-02T04:00:00,31.00,74.00,955.00,3.10,weatherbit,18.25,2.292
4368,2025-07-02T05:00:00,31.00,70.00,891.00,4.10,weatherbit,42.21,2.020
4369,2025-07-02T06:00:00,31.00,79.00,797.00,6.20,weatherbit,145.98,1.594
4370,2025-07-02T07:00:00,28.80,84.00,438.00,5.49,weatherbit,101.35,0.237
4371,2025-07-02T08:00:00,29.00,83.00,81.00,4.60,weatherbit,59.62,0.000
4372,2025-07-02T09:00:00,29.00,83.00,77.00,4.60,weatherbit,59.62,0.000
4373,2025-07-02T10:00:00,28.00,78.00,48.00,3.10,weatherbit,18.25,0.007
4374,2025-07-02T11:00:00,28.70,84.00,0.00,3.16,weatherbit,19.33,0.000
4375,2025-07-02T12:00:00,29.00,83.00,0.00,2.10,weatherbit,5.67,0.000
4376,2025-07-02T13:00:00,27.90,86.00,0.00,2.77,weatherbit,13.02,0.000
4377,2025-07-02T14:00:00,29.00,83.00,0.00,2.10,weatherbit,5.67,0.000
