id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
8006,2025-12-01T00:00:00,26.00,94.00,285.00,1.00,weatherbit,0.61,0.217
8007,2025-12-01T01:00:00,27.90,82.00,437.00,1.73,weatherbit,3.17,0.323
8008,2025-12-01T02:00:00,29.40,73.00,695.00,2.57,weatherbit,10.40,1.171
8009,2025-12-01T03:00:00,30.00,74.00,776.00,2.60,weatherbit,10.77,1.552
8010,2025-12-01T04:00:00,30.30,71.00,593.00,2.92,weatherbit,15.25,0.481
8011,2025-12-01T05:00:00,30.60,69.00,533.00,2.57,weatherbit,10.40,0.352
8012,2025-12-01T06:00:00,30.80,68.00,448.00,2.57,weatherbit,10.40,0.269
8013,2025-12-01T07:00:00,30.50,70.00,312.00,2.57,weatherbit,10.40,0.187
8014,2025-12-01T08:00:00,31.00,74.00,160.00,4.10,weatherbit,42.21,0.096
8015,2025-12-01T09:00:00,26.00,100.00,16.00,2.10,weatherbit,5.67,0.000
8016,2025-12-01T10:00:00,28.00,88.00,0.00,1.50,weatherbit,2.07,0.000
8017,2025-12-01T11:00:00,27.70,89.00,0.00,2.09,weatherbit,5.59,0.000
8018,2025-12-01T12:00:00,27.00,94.00,0.00,1.00,weatherbit,0.61,0.000
8019,2025-12-01T13:00:00,28.10,82.00,0.00,0.89,weatherbit,0.43,0.000
8020,2025-12-01T14:00:00,28.10,81.00,0.00,1.21,weatherbit,1.09,0.000
8021,2025-12-01T15:00:00,28.00,85.00,0.00,1.20,weatherbit,1.06,0.000
8022,2025-12-01T16:00:00,28.00,88.00,0.00,0.40,weatherbit,0.04,0.000
8023,2025-12-01T17:00:00,27.50,85.00,0.00,1.02,weatherbit,0.65,0.000
8024,2025-12-01T18:00:00,28.00,83.00,0.00,1.00,weatherbit,0.61,0.000
8025,2025-12-01T19:00:00,27.20,84.00,0.00,1.36,weatherbit,1.54,0.000
8026,2025-12-01T20:00:00,26.70,85.00,0.00,1.54,weatherbit,2.24,0.000
8027,2025-12-01T21:00:00,27.00,88.00,0.00,1.00,weatherbit,0.61,0.000
8028,2025-12-01T22:00:00,27.00,88.00,0.00,2.10,weatherbit,5.67,0.000
8029,2025-12-01T23:00:00,27.40,82.00,117.00,1.71,weatherbit,3.06,0.096
8030,2025-12-02T00:00:00,28.00,83.00,294.00,1.00,weatherbit,0.61,0.241
8031,2025-12-02T01:00:00,28.30,80.00,457.00,2.40,weatherbit,8.47,0.375
8032,2025-12-02T02:00:00,29.00,76.00,576.00,2.58,weatherbit,10.52,0.461
8033,2025-12-02T03:00:00,30.10,76.00,629.00,2.90,weatherbit,14.94,0.478
8034,2025-12-02T04:00:00,30.00,79.00,633.00,3.10,weatherbit,18.25,0.468
8035,2025-12-02T05:00:00,31.00,74.00,547.00,3.10,weatherbit,18.25,0.350
